balance_transaction_id,created_utc,reporting_category,charge_id,payment_method_type,card_funding,payment_metadata[bill_uuid],payment_metadata[copay_passthrough],payment_metadata[recouped_fee],refund_metadata[bill_uuid],refund_metadata[copay_passthrough],refund_metadata[recouped_fee]
txn_3OXpZlKA296nhejw1H3FxPcN,2024-01-12 18:35:30,charge,ch_3OXpZlKA296nhejw1mFNIXhk,card,debit,7b663794-d2c7-4334-bd66-a1951fa72dc3,51.85,1.56,,,
txn_3OY7ICKA296nhejw1nI0bW6d,2024-01-13 13:30:32,charge,ch_3OY7ICKA296nhejw1j2Hi74n,card,debit,523753e7-99df-4b9d-822d-4d454f10cedb,100.00,3.00,,,
txn_3OY7IDKA296nhejw0uEHFGfs,2024-01-13 13:30:33,charge,ch_3OY7IDKA296nhejw0U5AsuRC,card,credit,316be1f2-3516-4c52-912b-a67d48be10f6,820.00,24.60,,,
txn_3OY7IFKA296nhejw0quW2Uvo,2024-01-13 13:30:35,charge,ch_3OY7IFKA296nhejw027O2YNL,card,prepaid,2a6d14b1-c396-4381-9b89-8c8a66c1a7a4,2000.00,60.00,,,
txn_1OYDdcKA296nhejwEesK5Ms8,2024-01-13 20:17:04,transfer,,,,,,,,,
txn_1OYDddKA296nhejwhHyfMzXf,2024-01-13 20:17:05,transfer,,,,,,,,,
txn_1OYDdfKA296nhejwkfqN8IyR,2024-01-13 20:17:07,transfer,,,,,,,,,
txn_1OYDdhKA296nhejwpoQzG1NH,2024-01-13 20:17:09,transfer,,,,,,,,,
txn_1OYDdjKA296nhejwCNsyQFHI,2024-01-13 20:17:10,transfer,,,,,,,,,
txn_1OYDdkKA296nhejwOy1jJj7b,2024-01-13 20:17:12,transfer,,,,,,,,,
txn_1OYDdqKA296nhejwUdwxYLvr,2024-01-13 20:17:18,transfer,,,,,,,,,
txn_1OYDvWKA296nhejwyVGg11l8,2024-01-13 20:35:34,transfer,,,,,,,,,
txn_1OYDvXKA296nhejwNdIhFRfv,2024-01-13 20:35:34,transfer,,,,,,,,,
txn_1OYDvaKA296nhejw0oafzQVR,2024-01-13 20:35:37,transfer,,,,,,,,,
txn_1OYE11KA296nhejwjcO61tBB,2024-01-13 20:41:15,transfer,,,,,,,,,
txn_3OYTljKA296nhejw1opjHqao,2024-01-14 13:30:31,charge,ch_3OYTljKA296nhejw1szAZ5z4,card,prepaid,d0545411-f7a6-4507-8b38-2b8262a3f348,11.91,0.36,,,
txn_3OYTllKA296nhejw1DTq2RWs,2024-01-14 13:30:33,charge,ch_3OYTllKA296nhejw1Jk3JVHx,card,prepaid,0a1ab065-f57c-4f9f-bc6f-4ac82be9f91b,43.63,1.31,,,
txn_3OYTlnKA296nhejw0kPnf7uH,2024-01-14 13:30:36,charge,ch_3OYTlnKA296nhejw0PidBCIO,card,prepaid,d5792adf-85fc-4ff1-a99d-a2ec81a52a65,50.00,1.50,,,
txn_3OYTlqKA296nhejw1FF5v9f8,2024-01-14 13:30:38,charge,ch_3OYTlqKA296nhejw1Ps00V83,card,prepaid,0ee98363-84fc-4082-8441-ec30cc78d5ed,200.00,6.00,,,
txn_3OYTlsKA296nhejw0Chz2Lwo,2024-01-14 13:30:40,charge,ch_3OYTlsKA296nhejw0Ud3FvSv,card,prepaid,48fb0586-d444-4127-a0f4-b0a37a7fabdb,2000.00,60.00,,,
txn_3OYTltKA296nhejw0UvUV0mf,2024-01-14 13:30:42,charge,ch_3OYTltKA296nhejw0YEVY3Rd,card,prepaid,7cb6e18d-fb15-47a3-94d2-91568a7290ee,77.40,2.32,,,
txn_3OYTluKA296nhejw1mR9teOu,2024-01-14 13:30:42,charge,ch_3OYTluKA296nhejw1GguOke2,card,prepaid,e5b360c0-e4ac-4ebc-87ea-11856fbd240d,1380.00,41.40,,,
txn_3OYTlvKA296nhejw1BPZfjFk,2024-01-14 13:30:44,charge,ch_3OYTlvKA296nhejw1kqdpsqu,card,prepaid,ff2596d4-772d-4570-8c75-472bcb1a46da,200.00,6.00,,,
txn_3OYTm6KA296nhejw0283WXnx,2024-01-14 13:30:54,charge,ch_3OYTm6KA296nhejw0FFSCTUL,card,prepaid,494580c6-3dca-488a-8c2f-0b693b89e6c3,198.63,5.96,,,
txn_3OYTm9KA296nhejw0wdqem7M,2024-01-14 13:30:57,charge,ch_3OYTm9KA296nhejw0I7UmXB8,card,credit,2aff5d97-4d7f-463d-b88f-37724e183bdb,680.00,20.40,,,
txn_3OYqFGKA296nhejw0iEzh9LK,2024-01-15 13:30:31,charge,ch_3OYqFGKA296nhejw0YFSZHvB,card,credit,8bf18fbb-9179-40be-a87b-832fa23d2945,680.00,20.40,,,
txn_3OYqFHKA296nhejw0KV6iJcP,2024-01-15 13:30:31,charge,ch_3OYqFHKA296nhejw0XJ6v5bV,card,credit,e715e2de-a201-4506-9a3d-54f8de5e8fb5,1660.00,49.80,,,
txn_3OYqFHKA296nhejw1l1OMAfr,2024-01-15 13:30:32,charge,ch_3OYqFHKA296nhejw1N7HoBr6,card,credit,abe49466-9ccb-4962-8231-855ea3134267,200.00,6.00,,,
txn_3OYqFJKA296nhejw0s07jc1n,2024-01-15 13:30:33,charge,ch_3OYqFJKA296nhejw0JGagQc9,card,credit,b3b280aa-c8eb-4b7d-a2ca-970863c05a47,2.76,0.08,,,
txn_3OYqFLKA296nhejw1uYCLsRV,2024-01-15 13:30:35,charge,ch_3OYqFLKA296nhejw1BkbxpN3,card,credit,f757464a-7228-4ab5-8b6f-df3c95f2e5e9,78.65,2.36,,,
txn_3OYqFMKA296nhejw1dnJOEmU,2024-01-15 13:30:37,charge,ch_3OYqFMKA296nhejw1maNSr9i,card,credit,55cf32b9-46da-43c3-a876-bf7e4bc4179a,200.00,6.00,,,
txn_3OYqFPKA296nhejw1U9wXZzb,2024-01-15 13:30:39,charge,ch_3OYqFPKA296nhejw1khSyHNp,card,credit,31c598e9-8045-420e-aa31-c51c3e6ccb0d,37.20,1.12,,,
txn_3OYqFQKA296nhejw0sRFAr4z,2024-01-15 13:30:41,charge,ch_3OYqFQKA296nhejw0oQHsG7T,card,credit,24079fba-b2fd-4a11-92c4-b554b0f56d88,200.00,6.00,,,
txn_3OYqFRKA296nhejw0w6yP9U0,2024-01-15 13:30:42,charge,ch_3OYqFRKA296nhejw0QqHs4bJ,card,credit,1b583b3d-9801-4486-b655-97591d4074f1,72.23,2.17,,,
txn_3OYqFSKA296nhejw1xGjTzeK,2024-01-15 13:30:42,charge,ch_3OYqFSKA296nhejw1JfFzHnU,card,credit,9318271c-fc0f-4d8c-9d90-4ae3f978a13f,200.00,6.00,,,
txn_3OYqFTKA296nhejw0YezbjSm,2024-01-15 13:30:44,charge,ch_3OYqFTKA296nhejw0Wuo877g,card,credit,f3dfb10e-21ce-4c0a-b0ba-e2f40ee0590f,181.44,5.44,,,
txn_3OYqFVKA296nhejw08akbVrq,2024-01-15 13:30:45,charge,ch_3OYqFVKA296nhejw0KoD6AFL,card,credit,a0834559-9aa6-4460-9085-5da70c8be5db,200.00,6.00,,,
txn_3OYqFWKA296nhejw0AhsPoJ2,2024-01-15 13:30:46,charge,ch_3OYqFWKA296nhejw0CpmFWxe,card,prepaid,9300bfde-5ce1-4c8c-8f99-afb6324365c7,72.23,2.17,,,
txn_3OYqFXKA296nhejw0Yz231fy,2024-01-15 13:30:47,charge,ch_3OYqFXKA296nhejw07oCJMYv,card,credit,c1fff40c-9915-4243-8a69-89df9bbaaea9,200.00,6.00,,,
txn_3OYqFZKA296nhejw1GJ2wbSX,2024-01-15 13:30:49,charge,ch_3OYqFZKA296nhejw1FyMuxIy,card,prepaid,40e695b8-0e62-4a0b-ac28-bf124c415768,94.68,2.84,,,
txn_3OYqFdKA296nhejw1KsqTHxR,2024-01-15 13:30:53,charge,ch_3OYqFdKA296nhejw1oWfgvnw,card,prepaid,a7e5e436-dc0d-49d2-8a51-b639f352ba2c,48.15,1.44,,,
txn_3OYqFfKA296nhejw0HDNfNnR,2024-01-15 13:30:55,charge,ch_3OYqFfKA296nhejw0PzsQSMu,card,prepaid,e7d20b71-9ea6-4c1c-8e7c-c095f096fbf7,22.45,0.67,,,
txn_3OYqFhKA296nhejw0DfO0DQn,2024-01-15 13:30:57,charge,ch_3OYqFhKA296nhejw0GphIDZh,card,prepaid,daeb54cb-514b-463a-b3fc-4b2a057dd77a,10.00,0.30,,,
txn_3OYqFhKA296nhejw1XgiOtCP,2024-01-15 13:30:57,charge,ch_3OYqFhKA296nhejw1OFEH9pI,card,prepaid,8e012ffe-38be-405a-bd98-b9da55d4d4b6,142.02,4.26,,,
txn_3OYqFjKA296nhejw1yCZVuF2,2024-01-15 13:31:00,charge,ch_3OYqFjKA296nhejw1lVhDjal,card,prepaid,8d6ef867-4488-4b34-a78b-24c83efcb1a4,462.09,13.86,,,
txn_3OYqFnKA296nhejw093NTLpv,2024-01-15 13:31:03,charge,ch_3OYqFnKA296nhejw0PEACemk,card,prepaid,43108e23-738b-4ec0-b057-2ff8ef022f36,200.00,6.00,,,
txn_3OYqFHKA296nhejw0kobTDPk,2024-01-15 17:42:32,refund,ch_3OYqFHKA296nhejw0XJ6v5bV,card,credit,e715e2de-a201-4506-9a3d-54f8de5e8fb5,1660.00,49.80,01a3dce3-abfa-42be-9a2a-b6a0e3431697,-1660.00,-49.80
txn_1OYvVOKA296nhejwplbcgp8x,2024-01-15 19:07:30,transfer,,,,,,,,,
txn_3OYqFnKA296nhejw1QaiAAI2,2024-01-15 21:05:11,charge,py_3OYqFnKA296nhejw1mI05d3c,us_bank_account,,cc0defd3-8cd9-4a09-8901-0d4eaa5ce2bf,200.00,0.00,,,
txn_3OY7IBKA296nhejw1LDenF4Z,2024-01-15 21:06:58,charge,py_3OY7IBKA296nhejw17cow2If,us_bank_account,,9d1bb30d-29ae-4db7-9af1-04adabf5212a,200.00,0.00,,,
txn_3OYTm3KA296nhejw093M0ylZ,2024-01-15 21:07:22,charge,py_3OYTm3KA296nhejw0VR2rhLg,us_bank_account,,d5c18958-ddd0-4f5c-84fc-02cfe76a8c8a,680.00,0.00,,,
txn_3OYqFeKA296nhejw1N9oQZ0j,2024-01-15 21:07:40,charge,py_3OYqFeKA296nhejw1TxSvS0i,us_bank_account,,77ebdd46-aedc-47a6-b347-aca9ea1f2901,95.37,0.00,,,
